"","x"
"1","GW16"
"2","NPC"
"3","GW16"
"4","GW21+3"
"5","GW16"
"6","GW21"
"7","GW21"
"8","GW16"
"9","GW16"
"10","NPC"
"11","NPC"
"12","GW16"
"13","GW16"
"14","NPC"
"15","GW21"
"16","GW21+3"
"17","GW21+3"
"18","NPC"
"19","GW21+3"
"20","GW21+3"
"21","GW16"
"22","GW21+3"
"23","NPC"
"24","GW16"
"25","GW16"
"26","NPC"
"27","GW16"
"28","GW16"
"29","GW16"
"30","GW21+3"
"31","GW21"
"32","GW16"
"33","NPC"
"34","GW16"
"35","GW21"
"36","GW16"
"37","GW16"
"38","GW21"
"39","GW21"
"40","GW16"
"41","GW21+3"
"42","GW16"
"43","NPC"
"44","GW16"
"45","GW21+3"
"46","GW21+3"
"47","GW21+3"
"48","NPC"
"49","GW21+3"
"50","GW21+3"
"51","NPC"
"52","GW16"
"53","GW16"
"54","NPC"
"55","NPC"
"56","NPC"
"57","GW16"
"58","NPC"
"59","GW21"
"60","GW21+3"
"61","GW21+3"
"62","GW16"
"63","GW21"
"64","GW16"
"65","GW16"
"66","NPC"
"67","GW21"
"68","GW16"
"69","GW21+3"
"70","GW16"
"71","GW21"
"72","GW16"
"73","NPC"
"74","GW21+3"
"75","GW16"
"76","GW21+3"
"77","GW21+3"
"78","NPC"
"79","GW16"
"80","GW16"
"81","NPC"
"82","NPC"
"83","GW16"
"84","GW16"
"85","GW16"
"86","GW16"
"87","NPC"
"88","NPC"
"89","GW16"
"90","GW16"
"91","GW21+3"
"92","GW21+3"
"93","GW21+3"
"94","NPC"
"95","GW16"
"96","GW16"
"97","GW21"
"98","GW16"
"99","GW21+3"
"100","GW21"
"101","GW16"
"102","GW21+3"
"103","GW21"
"104","GW21+3"
"105","NPC"
"106","GW16"
"107","GW16"
"108","GW16"
"109","NPC"
"110","GW21+3"
"111","GW21+3"
"112","GW16"
"113","NPC"
"114","NPC"
"115","NPC"
"116","GW16"
"117","GW16"
"118","NPC"
"119","GW16"
"120","NPC"
"121","GW21+3"
"122","GW21+3"
"123","GW21+3"
"124","GW21+3"
"125","GW16"
"126","GW21"
"127","GW16"
"128","GW21+3"
"129","GW16"
"130","GW21"
