"","SRR1275356","SRR1274090","SRR1275251","SRR1275287","SRR1275364","SRR1275269","SRR1275263","SRR1275242","SRR1275338","SRR1274117","SRR1274089","SRR1275248","SRR1275345","SRR1274125","SRR1275270","SRR1275300","SRR1275294","SRR1274122","SRR1275299","SRR1275277","SRR1275370","SRR1275293","SRR1274128","SRR1275348","SRR1275245","SRR1274084","SRR1275335","SRR1275342","SRR1275363","SRR1275280","SRR1275264","SRR1275369","SRR1274131","SRR1275351","SRR1275256","SRR1275252","SRR1275355","SRR1275258","SRR1275260","SRR1275367","SRR1275284","SRR1275346","SRR1274114","SRR1275241","SRR1275279","SRR1275297","SRR1275273","SRR1274126","SRR1275290","SRR1275274","SRR1274121","SRR1275341","SRR1275336","SRR1274119","SRR1274087","SRR1274113","SRR1275246","SRR1274132","SRR1275267","SRR1275289","SRR1275283","SRR1275360","SRR1275255","SRR1275358","SRR1275352","SRR1274130","SRR1275265","SRR1275368","SRR1275281","SRR1275362","SRR1275257","SRR1275350","SRR1274129","SRR1275292","SRR1275371","SRR1275298","SRR1275276","SRR1274123","SRR1275343","SRR1275334","SRR1274085","SRR1274111","SRR1275349","SRR1275244","SRR1275249","SRR1275344","SRR1274088","SRR1274116","SRR1275243","SRR1275339","SRR1275301","SRR1275295","SRR1275271","SRR1274124","SRR1275250","SRR1275357","SRR1275262","SRR1275365","SRR1275286","SRR1275268","SRR1275361","SRR1275282","SRR1275266","SRR1275288","SRR1274133","SRR1275353","SRR1275254","SRR1275359","SRR1274120","SRR1275275","SRR1275291","SRR1275247","SRR1274086","SRR1274112","SRR1274118","SRR1275337","SRR1275340","SRR1274115","SRR1275347","SRR1274127","SRR1275272","SRR1275278","SRR1275302","SRR1275296","SRR1275354","SRR1275259","SRR1275253","SRR1275285","SRR1275366","SRR1275261"
"A1BG",0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,16,30,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"A2M",0,0,0,31,0,46,0,0,0,29,0,43,0,0,1,10,0,1,326,330,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,65,0,0,2,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,911,0,0,0,0,0,0,1,0,0,50,0,0,0,87,902,0,0,0,0,0,0,0,0,0,9,0,0,0,0,1193,0,0,16572
"AAAS",0,0,35,0,0,0,0,0,0,20,2,0,4,0,0,0,0,4,0,0,0,0,0,19,0,9,0,0,11,5,0,85,41,0,0,3,1,0,0,0,2,172,0,0,114,0,0,0,20,0,106,0,0,7,0,0,0,0,685,617,158,0,1,0,1756,0,0,0,5,374,0,1,16,3,0,0,0,182,0,0,0,0,0,0,0,77,0,0,0,0,0,0,295,3,0,0,302,0,3,31,0,0,0,0,309,58,0,0,0,0,195,0,0,0,1,0,0,35,7,0,13,0,0,0,63,0,0,216,0,5372
"AACS",1,0,1,312,0,0,1,0,0,76,0,0,0,0,0,60,0,0,1574,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1,0,12,0,0,0,1082,0,77,0,0,0,585,461,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,116,0,1,0,0,0,0,1092,0,0,0,0,0,0,0,0,1,47,0,0,0,0,42,0,0,0,12,10,0,0,0,0,0,0,35,0,0,2,74,0,0,0,104,0,0,0,0,0,0,0,0,266,0
"AADAT",0,0,0,0,0,0,0,0,0,3,20,0,2,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,44,3,0,1,0,0,0,0,7,0,0,0,0,13,0,0,0,0,1,0,0,0,34,0,0,0,0,0,0,0,0,5,0,11,2,0,0,0,0,31,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0
"AAGAB",0,0,0,3,0,0,141,0,0,20,0,0,0,13,0,4,0,0,20,202,1,0,0,1,0,3,0,0,0,0,7,0,203,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,119,0,0,4,1,0,7,0,156,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,14,1223,13,0,0,0,23,0,0,0,0,0,0,0,63,0,0,0,0,0,17,1,1,0,0,0,0,0,0,0,0,5,1,22,0,0,0,0,0,501
"AAK1",0,0,1,112,55,0,1,0,0,7,0,1,0,0,0,0,0,0,7,1090,313,0,0,1,0,3,1,0,0,0,0,0,30,0,0,0,4,2,3,189,6,1,0,3,5,64,5,0,12,0,16,150,353,1,1,1,0,0,7266,282,140,6930,4,1,0,0,2,4,20,0,151,1,0,34,9,1,1,4,0,1,14,96,0,6,339,0,0,0,61,0,3,33,46,0,4,0,8,1,1,362,187,0,0,6,24,0,0,0,0,17,1306,10,1,2,2,22,3747,0,0,1,2,18,0,1,91,23,0,123,6420,83
"AAMDC",0,0,0,216,0,0,0,13,0,0,0,4,0,0,0,10,18,0,375,0,0,671,6,306,0,3,0,0,21,0,0,0,3,0,0,0,0,0,11,0,0,1119,4,236,8,0,0,0,0,0,0,0,0,0,335,228,0,0,0,0,0,0,0,0,0,1,0,0,1,615,0,0,49,0,0,0,2,10,0,0,0,471,9,0,0,0,5,0,0,0,1,0,0,0,0,0,47,0,0,0,0,0,0,3,23,0,0,0,0,60,0,58,0,9,0,0,0,53,30,490,0,0,0,0,0,124,0,0,0,860
"AAMP",0,0,0,0,113,88,29,451,1,0,3,0,0,0,8,0,0,0,0,0,0,1,0,1193,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,7424,12,0,1,0,1,0,0,0,134,0,0,16,0,0,0,36,12,0,2,0,0,5,0,1,1,0,0,0,662,0,0,0,0,0,0,0,43,0,67,7,0,0,0,0,67,0,0,0,51,0,0,0,0,1,0,0,0,0,0,0,0,0,164,0,0,0,9,0,4,0,0,9,0,0,0,0,2,0,0,0,0,0,2685,0,0,21
"AAR2",1,0,0,1,0,0,0,0,0,0,0,0,72,8,0,6,0,0,185,0,0,0,0,1105,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,461,0,0,0,0,897,0,0,23,9,0,0,0,1,0,0,0,0,0,66,0,0,2,0,0,0,0,21,212,0,1,0,0,0,0,1,107,0,0,0,2629,67,0,0,1858,0,15,0,0,0,48,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,57,0,0,0,977,10,1,0,0,0,1,0,0,0,0,0,0
"AARS",848,0,0,1,3,0,1,3,68,1,5,3,66,188,0,0,0,0,0,1386,0,1,0,8,0,0,0,1,127,0,0,0,288,0,148,0,0,0,0,0,3,13,0,58,2,0,5836,2,40,194,0,0,0,0,0,0,0,5,668,1233,90,10,2992,0,83,0,22,0,65,3253,1,1,0,25,0,0,2,2449,0,0,127,20,0,1,0,1884,0,3,10,3,1756,14,1,64,0,49,0,0,0,52,0,1,5,0,4,1,0,0,0,12,737,12,1,0,0,0,0,251,0,0,1,42,100,0,1,0,0,1,0,2
"AARS2",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,134,0,766,0,0,203,2,0,0,0,0,0,0,1,0,1,0,0,0,763,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,2729,0,0,16,0,0,0,0,0,0,1,0,0,0,0,0,53,0,0,0,0,0,32,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,27,24,0,0,0,0,0,0,0,0,0,3514,0
"AASDH",0,1,1,7,1117,1236,0,0,0,32,79,1,0,122,51,0,0,0,4,0,0,0,34,0,0,0,0,1,0,0,0,0,193,0,0,0,11,0,0,38,11,0,0,0,2,0,79,2,0,0,0,0,308,0,0,0,0,3,0,4,236,0,0,0,0,0,43,0,0,1,0,0,2,0,0,0,0,75,0,0,356,362,0,0,0,0,0,9,0,0,0,0,14,0,0,0,0,34,1,0,0,0,5,0,1,0,0,0,0,0,1,49,4,7,0,16,0,117,0,1427,0,0,0,0,605,0,0,8,1149,0
"AASDHPPT",0,2,94,11,0,73,6,0,8614,1110,79,2,1,212,3,35,4,7,1370,37,99,235,6,0,0,30,4,0,0,5,0,0,424,0,6,2,74,0,35,128,16,0,3,1,205,70,0,2,5,0,180,0,0,433,0,186,0,7,0,167,820,0,117,2,116,10,0,4,623,0,1,0,633,4,4,4,15,2224,0,59,1954,61,0,0,0,35,0,1,7,306,238,84,353,37,0,0,0,0,14,0,0,17,0,0,1168,4,0,0,14,693,106,105,30,1,19,0,0,96,0,401,12,0,11,1,2986,407,0,644,3994,0
"AASS",7,32,0,2092,12,20,5605,0,0,69,2482,12,1,810,0,0,1,78,0,6,4,5,3,7051,12,1,60,5162,48,0,225,99,430,52,2,0,0,1,0,0,6,4978,40,0,7,1,10,11,1,1,3669,0,19,241,8,2519,0,6,4,16,377,19,16,1194,3968,67,0,3103,1,1780,0,1865,3511,57,1,0,15,4638,189,1502,676,3053,347,86,0,18,2,7,2103,0,13,4,9,79,0,1,1,0,0,0,0,0,1,54,28,105,0,31,3,983,2014,205,8,57,0,0,1,497,133,144,0,0,2,0,14,3,7,12,2,20
"ABAT",0,4,0,203,0,0,0,49,10123,154,538,0,0,815,0,8,0,19,434,103,0,1,0,2601,0,0,0,2644,51,0,0,0,8,2,0,0,0,0,0,47,9,0,0,839,0,0,3,19,0,0,751,0,0,0,0,0,0,0,0,0,218,0,0,0,8,3,0,0,0,1219,0,106,36,0,0,0,0,1,81,0,1348,205,157,15,0,1,0,1,196,524,0,0,33,0,0,0,0,0,0,0,0,0,0,6,8,0,0,0,0,1,0,0,25,4,2,0,0,5,0,0,0,5,0,0,0,0,0,0,1661,0
"ABCA1",1,0,0,8,0,1893,1,0,0,0,0,190,0,579,60,0,0,30,2,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,1699,0,0,0,367,3,11,0,0,1714,0,0,1,0,1,0,0,0,0,0,5248,2,1591,0,0,2,14,1,0,2,12,0,0,0,5,0,0,0,0,0,2,0,0,970,1,0,0,0,0,0,0,1,0,28,0,385,0,18,0,123,0,0,1,33,0,0,38,0,0,4,6199,0,0,0,0,0,1,50,0,0,0,0,0,0,0,1,956,0,10745
"ABCA11P",0,0,0,14,0,0,0,269,0,0,6,0,0,39,0,1,0,0,31,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,4876,423,0,0,0,0,0,0,0,0,26,54,13,0,0,36,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,923,0,1,48,85,0,0,0,0,1,0,0,0,0,0,0,17,0,0,0,0,0,2,0,1,0,1,1,0,0,0,1,0,0,0,1,2,0,0,0,0,0,43,0,0,0,0,0,0,0,0,26,0
"ABCA3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,1154,0,219,0,0,0,0,0,38,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,0,0,0,0,0,0,1,79,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,12,1,0,0,72,0,0
"ABCA5",0,1,0,0,0,0,0,0,0,1,185,0,0,249,0,0,0,0,0,0,0,0,4,0,0,15,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,0,0,1,0,0,24,23,18,0,0,0,0,0,0,0,0,906,0,0,0,0,1,0,0,4,0,0,0,0,12,0,0,7,83,0,5,0,0,2,0,150,0,0,1,1,2,0,0,8,0,0,0,0,0,0,0,532,19,0,0,0,0,0,0,0,1,0,0,0,0,0,382,0,0,0,0,0,0,0,0,0,214
"ABCB10",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,57,0,0,0,0,1,2,0,0,0,0,2006,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,53,0,0,2,0,1,0,0,16,0,0,929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,59,0,0,0,15,0,1,0,0,0,0
"ABCB6",0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,523,0,0,693,0,0,0,0,0,0,0,15,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCB7",0,0,0,1,0,0,0,136,21837,265,0,0,23,119,0,0,0,0,0,1,0,53,0,2,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,1,0,2505,0,0,0,3,0,0,0,0,10,151,32,0,0,0,0,0,0,7824,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,1201,0,0,0,0,624,0,2,0,1053,0,0,0,1,0,0,0,0,0,0,171,0,0,0,0,0,0,0,6,1,0,0,23,0,2,1,0,138,0,0,0,0,0,0,0,0,0,2,0,0
"ABCB8",0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1473,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,73,3,0,57,0,0,0,0,0,17,0,0,0,2,0,0,0,0,0,0,0,0,0,255,20,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,12,0,0,0,0,1,0
"ABCC10",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,53,776,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,23,0,0,0,0,0,1050,0,70,0,34,0,0,0,0,466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,824,0,0,2,0,0,0,0,0,0,0,31,0,0,0,0,0,1,0,0
"ABCC4",0,0,0,0,0,0,0,0,171,0,18,0,0,147,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,21,0,0,0,4,0,0,147,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,16,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1
"ABCC5",1383,12,0,0,0,13,0,0,0,62,581,0,0,0,0,0,0,0,0,132,0,0,0,0,1,0,0,12,0,0,0,0,0,0,0,0,0,1,0,0,11,0,0,0,1,0,2551,0,0,84,7,0,1,8,1579,6,0,0,0,0,506,0,0,1,0,0,0,0,113,1,0,0,3,0,0,0,0,3,1,0,0,5,0,0,0,0,22,0,0,0,0,0,219,0,0,57,0,0,3,0,0,1,0,0,2,0,0,0,1,0,2,4,0,0,2,0,0,8,0,0,5,7,0,0,1,5,0,336,0,1
